# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 14 04:22:42 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
loc_rowid,pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_lum
12372,Kepler-1615 b,47.31261920,,2.060,,,,,,5865.00,1.05,1.04,
12373,Kepler-1615 b,47.31261920,0.259500,1.940,,,0.000000,523,,6035.00,1.00,1.03,
12374,Kepler-1615 b,47.31261920,0.259500,1.940,,,0.000000,523,,6035.00,1.00,1.03,
12375,Kepler-1615 b,,,3.111,,,,,,5750.00,1.57,,
12376,Kepler-1615 b,47.31286450,0.278800,3.710,,,0.000000,658,,5749.00,1.88,1.29,
12377,Kepler-1615 b,47.31261920,0.259500,1.940,,,0.000000,523,,6035.00,1.00,1.03,
12378,Kepler-1615 b,47.31286450,,,,,,,,5670.00,1.62,1.01,0.389
12379,Kepler-1616 b,6.76284377,0.074000,0.880,,,0.000000,1138,,6528.00,1.16,1.18,
12380,Kepler-1616 b,6.76260204,,,,,,,,6202.69,1.80,1.19,0.638
12381,Kepler-1616 b,6.76284377,0.074000,0.880,,,0.000000,1138,,6528.00,1.16,1.18,
12382,Kepler-1616 b,6.76289308,0.076100,1.210,,,0.000000,1337,,6547.00,1.63,1.29,
12383,Kepler-1616 b,,,1.337,,,,,,6153.00,1.81,,
12384,Kepler-1616 b,6.76284377,,1.020,,,,,,6266.00,1.34,1.21,
12385,Kepler-1616 b,6.76289308,,,,,,,,6202.69,1.80,1.19,0.638
12386,Kepler-1616 b,6.76284377,0.074000,0.880,,,0.000000,1138,,6528.00,1.16,1.18,
12387,Kepler-1617 b,27.47855720,0.183300,1.080,,,0.000000,689,,6300.00,1.13,1.08,
12388,Kepler-1617 b,27.47846590,0.181000,1.520,,,0.000000,736,,5432.00,1.71,1.05,
12389,Kepler-1617 b,27.48042152,,,,,,,,5988.14,1.38,1.10,0.341
12390,Kepler-1617 b,,,1.244,,,,,,5903.00,1.39,,
12391,Kepler-1617 b,27.47855720,0.183300,1.080,,,0.000000,689,,6300.00,1.13,1.08,
12392,Kepler-1617 b,27.47846590,,,,,,,,5988.14,1.38,1.10,0.341
12393,Kepler-1617 b,27.47855720,0.183300,1.080,,,0.000000,689,,6300.00,1.13,1.08,
12394,Kepler-1617 b,27.47855720,,1.200,,,,,,6167.00,1.22,1.15,
12395,Kepler-1618 b,,,1.409,,,,,,6430.00,1.71,,
12396,Kepler-1618 b,6.10826019,0.070900,1.070,,,0.000000,1311,,6725.00,1.39,1.28,
12397,Kepler-1618 b,6.10829450,0.070600,1.060,,,0.000000,1267,,6720.00,1.29,1.26,
12398,Kepler-1618 b,6.10829450,,,,,,,,6391.96,1.80,1.28,0.690
12399,Kepler-1618 b,6.10826019,0.070900,1.070,,,0.000000,1311,,6725.00,1.39,1.28,
12400,Kepler-1618 b,6.10826692,,,,,,,,6391.96,1.80,1.28,0.690
12401,Kepler-1618 b,6.10826019,0.070900,1.070,,,0.000000,1311,,6725.00,1.39,1.28,
12402,Kepler-1618 b,6.10826019,,1.260,,,,,,6620.00,1.65,1.41,
12403,Kepler-1619 b,23.62259130,0.159700,0.760,,,0.000000,679,,6137.00,1.00,0.97,
12404,Kepler-1619 b,,,1.115,,,,,,5650.00,1.46,,
12405,Kepler-1619 b,23.62209527,,,,,,,,5724.26,1.48,1.02,0.326
12406,Kepler-1619 b,23.62235710,,,,,,,,5724.26,1.48,1.02,0.326
12407,Kepler-1619 b,23.62259130,0.159700,0.760,,,0.000000,679,,6137.00,1.00,0.97,
12408,Kepler-1619 b,23.62235710,0.161100,1.070,,,0.000000,797,,6144.00,1.39,1.00,
12409,Kepler-1619 b,23.62259130,0.159700,0.760,,,0.000000,679,,6137.00,1.00,0.97,
12410,Kepler-1619 b,23.62259130,,0.760,,,,,,5852.00,1.00,1.00,
12411,Kepler-162 b,6.91986734,0.068000,1.280,,,0.000000,961,,5815.00,0.95,0.88,
12412,Kepler-162 b,6.91979800,0.069000,1.260,,,,,,5816.00,0.96,,
12413,Kepler-162 b,,,1.682,,,,,,5870.00,1.15,,
12414,Kepler-162 b,6.91986734,0.068000,1.280,,,0.000000,961,,5815.00,0.95,0.88,
12415,Kepler-162 b,6.91986734,,1.560,,,,,,6089.00,1.20,1.12,
12416,Kepler-162 b,6.91986988,0.068000,1.390,,,0.000000,961,,5815.00,0.95,0.88,
12417,Kepler-162 b,6.91986988,,,,,,,,5743.00,1.21,1.03,0.155
12418,Kepler-162 b,6.91983570,,,,,,,,5743.00,1.21,1.03,0.155
12419,Kepler-162 b,6.91986734,0.068000,1.280,,,0.000000,961,,5815.00,0.95,0.88,
12420,Kepler-162 b,6.91972300,0.070000,1.340,,,0.000000,962,,5838.00,0.98,0.95,
12421,Kepler-162 c,19.44639139,,,,,,,,5743.00,1.21,1.03,0.155
12422,Kepler-162 c,19.44631300,0.139000,3.300,,,0.000000,682,,5838.00,0.98,0.95,
12423,Kepler-162 c,,,3.912,,,,,,5870.00,1.15,,
12424,Kepler-162 c,19.44638698,,4.190,,,,,,6089.00,1.20,1.12,
12425,Kepler-162 c,19.44638698,0.135500,3.280,,,0.000000,681,,5815.00,0.95,0.88,
12426,Kepler-162 c,19.44639139,0.135500,3.240,,,0.000000,681,,5815.00,0.95,0.88,
12427,Kepler-162 c,19.44638698,0.135500,3.280,,,0.000000,681,,5815.00,0.95,0.88,
12428,Kepler-162 c,19.44640860,,,,,,,,5743.00,1.21,1.03,0.155
12429,Kepler-162 c,19.44638698,0.135500,3.280,,,0.000000,681,,5815.00,0.95,0.88,
12430,Kepler-162 c,19.44635500,0.137000,3.030,,,,,,5816.00,0.96,,
12431,Kepler-162 c,19.44638028,,,,,,,,5743.00,1.21,1.03,0.155
12432,Kepler-1620 b,101.95182900,0.432200,1.360,,,0.000000,428,,6210.00,1.05,1.03,
12433,Kepler-1620 b,101.95204800,0.432200,1.310,,,0.000000,428,,6210.00,1.05,1.03,
12434,Kepler-1620 b,101.95182900,0.432200,1.360,,,0.000000,428,,6210.00,1.05,1.03,
12435,Kepler-1620 b,101.95182900,,1.610,,,,,,6157.00,1.23,1.15,
12436,Kepler-1620 b,101.95204800,,,,,,,,,,,
12437,Kepler-1620 b,101.94973747,,,,,,,,,,,
12438,Kepler-1620 b,101.95182900,0.432200,1.360,,,0.000000,428,,6210.00,1.05,1.03,
12439,Kepler-1620 b,101.95202324,,,,,,,,,,,
12440,Kepler-1621 b,92.26371400,0.426600,1.960,,,0.000000,457,,6343.00,1.14,1.21,
12441,Kepler-1621 b,92.26724194,,,,,,,,6355.00,1.43,1.26,0.478
12442,Kepler-1621 b,92.26374200,0.420400,2.220,,,0.000000,469,,6084.00,1.28,1.17,
12443,Kepler-1621 b,92.26371400,0.426600,1.960,,,0.000000,457,,6343.00,1.14,1.21,
12444,Kepler-1621 b,92.26195246,,,,,,,,6355.00,1.43,1.26,0.478
12445,Kepler-1621 b,92.26371400,0.426600,1.960,,,0.000000,457,,6343.00,1.14,1.21,
12446,Kepler-1621 b,,,2.456,,,,,,6087.00,1.42,,
12447,Kepler-1621 b,92.26371400,,2.160,,,,,,6158.00,1.24,1.15,
12448,Kepler-1621 b,92.26374200,,,,,,,,6355.00,1.43,1.26,0.478
12449,Kepler-1622 b,10.81187370,0.100600,1.150,,,0.000000,980,,6461.00,1.19,1.16,
12450,Kepler-1622 b,10.81183170,,,,,,,,6309.49,1.29,1.24,0.373
12451,Kepler-1622 b,10.81185858,,,,,,,,6309.49,1.29,1.24,0.373
12452,Kepler-1622 b,10.81183170,0.099400,1.240,,,0.000000,922,,6025.00,1.20,1.12,
12453,Kepler-1622 b,,,1.381,,,,,,6188.00,1.33,,
12454,Kepler-1622 b,10.81187370,0.100600,1.150,,,0.000000,980,,6461.00,1.19,1.16,
12455,Kepler-1622 b,10.81187370,0.100600,1.150,,,0.000000,980,,6461.00,1.19,1.16,
12456,Kepler-1622 b,10.81187370,,1.470,,,,,,6436.00,1.50,1.31,
12457,Kepler-1623 b,4.36128348,0.053300,1.300,,,0.000000,1090,,5817.00,0.96,1.06,
12458,Kepler-1623 b,4.36128348,,1.310,,,,,,5772.00,1.00,1.00,
12459,Kepler-1623 b,4.36125889,,,,,,,,5578.00,0.88,0.98,-0.172
12460,Kepler-1623 b,4.36128348,0.053300,1.300,,,0.000000,1090,,5817.00,0.96,1.06,
12461,Kepler-1623 b,,,1.219,,,,,,5518.00,0.89,,
12462,Kepler-1623 b,4.36128348,0.053300,1.300,,,0.000000,1090,,5817.00,0.96,1.06,
12463,Kepler-1623 b,4.36125889,0.051800,1.200,,,0.000000,1000,,5520.00,0.87,0.97,
12464,Kepler-1623 b,4.36130068,,,,,,,,5578.00,0.88,0.98,-0.172
12465,Kepler-1624 b,,,6.528,,,,,,3560.00,0.57,,
12466,Kepler-1624 b,3.29030410,,,,,,,,3579.00,0.57,0.56,-1.323
12467,Kepler-1624 b,3.29030844,,,,,,,,3579.00,0.57,0.56,-1.323
12468,Kepler-1624 b,3.29031389,,,,,,,,3579.00,0.57,0.56,-1.323
12469,Kepler-1624 b,3.29030452,,5.700,,,,,,3636.00,0.47,0.50,
12470,Kepler-1624 b,3.29030410,0.032700,4.910,,,0.000000,540,,3386.00,0.43,0.43,
12471,Kepler-1624 b,3.29030452,0.023800,2.270,,,0.000000,399,,3212.00,0.19,0.17,
12472,Kepler-1624 b,3.29030452,0.023800,2.270,,,0.000000,399,,3212.00,0.19,0.17,
12473,Kepler-1625 b,,,11.831,,,,,,5586.00,1.82,,
12474,Kepler-1625 b,287.37731400,,,,,,,,5413.00,1.88,0.94,0.437
12475,Kepler-1625 b,287.37894900,,6.060,,,,,,5677.00,0.94,0.96,
12476,Kepler-1625 b,287.37894900,0.811000,5.400,,,0.000000,253,,5645.00,0.84,0.86,
12477,Kepler-1625 b,287.37894900,0.811000,5.400,,,0.000000,253,,5645.00,0.84,0.86,
12478,Kepler-1625 b,287.37731400,0.874800,11.670,,,0.000000,350,,5548.00,1.79,1.08,
12479,Kepler-1625 b,287.37735300,,,,,,,,5413.00,1.88,0.94,0.437
12480,Kepler-1626 b,4.13962966,0.053400,1.230,,,0.000000,1339,,6517.00,1.16,1.18,
12481,Kepler-1626 b,4.13962966,0.053400,1.230,,,0.000000,1339,,6517.00,1.16,1.18,
12482,Kepler-1626 b,4.13962966,,2.020,,,,,,6826.00,1.85,1.51,
12483,Kepler-1626 b,,,1.599,,,,,,6553.00,1.52,,
12484,Kepler-1626 b,4.13952681,,,,,,,,6697.00,1.50,1.42,0.611
12485,Kepler-1626 b,4.13960513,,,,,,,,6697.00,1.50,1.42,0.611
12486,Kepler-1626 b,4.13960513,0.053700,1.240,,,0.000000,1352,,6535.00,1.18,1.20,
12487,Kepler-1627 b,7.20283653,0.064300,3.150,,,0.000000,794,,5388.00,0.72,0.68,
12488,Kepler-1627 b,7.20283653,,3.690,,,,,,5445.00,0.84,0.87,
12489,Kepler-1627 b,,,3.760,,,,,,5395.00,0.88,,
12490,Kepler-1627 b,7.20281185,,,,,,,,5580.71,0.75,0.99,-0.303
12491,Kepler-1627 b,7.20281185,0.064300,3.060,,,0.000000,794,,5388.00,0.72,0.68,
12492,Kepler-1627 b,7.20280608,,,,,,,,5580.71,0.75,0.99,-0.303
12493,Kepler-1627 b,7.20283653,0.064300,3.150,,,0.000000,794,,5388.00,0.72,0.68,
12494,Kepler-1628 b,76.37803300,0.295600,7.240,,,0.000000,241,,3877.00,0.59,0.59,
12495,Kepler-1628 b,76.37803300,0.295600,7.240,,,0.000000,241,,3877.00,0.59,0.59,
12496,Kepler-1628 b,76.37785500,0.295200,6.280,,,0.000000,240,,3869.00,0.58,0.59,
12497,Kepler-1628 b,76.37750000,,,,,,,,,,,
12498,Kepler-1628 b,76.37785500,,,,,,,,,,,
12499,Kepler-1628 b,76.37803300,,6.430,,,,,,3724.00,0.52,0.55,
12500,Kepler-1629 b,3.87594316,,,,,,,,5699.00,0.88,1.01,-0.134
12501,Kepler-1629 b,3.87594219,,,,,,,,5699.00,0.88,1.01,-0.134
12502,Kepler-1629 b,3.87594316,0.048500,0.680,,,0.000000,1081,,5713.00,0.89,1.01,
12503,Kepler-1629 b,3.87595807,,0.770,,,,,,5776.00,1.01,1.01,
12504,Kepler-1629 b,,,0.669,,,,,,5708.00,0.88,,
12505,Kepler-1629 b,3.87595807,0.049900,0.760,,,0.000000,1157,,5880.00,0.99,1.10,
12506,Kepler-163 b,7.81104673,,1.150,,,,,,5705.00,0.96,0.98,
12507,Kepler-163 b,7.81093700,0.078000,1.050,,,,,,5776.00,0.92,,
12508,Kepler-163 b,7.81104673,0.077100,1.050,,,0.000000,870,,5772.00,0.90,1.00,
12509,Kepler-163 b,,,1.156,,,,,,5390.00,0.91,,
12510,Kepler-163 b,7.81104673,0.077100,1.050,,,0.000000,870,,5772.00,0.90,1.00,
12511,Kepler-163 b,7.81101000,0.076000,1.040,,,0.000000,847,,5736.00,0.85,0.96,
12512,Kepler-163 b,7.81100952,,,,,,,,5410.90,0.97,0.94,-0.138
12513,Kepler-163 b,7.81104769,,,,,,,,5410.90,0.97,0.94,-0.138
12514,Kepler-163 b,7.81104673,0.077100,1.050,,,0.000000,870,,5772.00,0.90,1.00,
12515,Kepler-163 b,7.81100952,0.073900,1.360,,,0.000000,906,,5395.00,1.07,0.88,
12516,Kepler-163 c,21.34739582,,,,,,,,5410.90,0.97,0.94,-0.138
12517,Kepler-163 c,21.34736120,0.150600,2.230,,,0.000000,623,,5772.00,0.90,1.00,
12518,Kepler-163 c,21.34736612,,,,,,,,5410.90,0.97,0.94,-0.138
12519,Kepler-163 c,21.34736612,0.144500,3.200,,,0.000000,648,,5395.00,1.07,0.88,
12520,Kepler-163 c,21.34735000,0.149000,2.300,,,0.000000,605,,5736.00,0.85,0.96,
12521,Kepler-163 c,21.34736120,0.150600,2.230,,,0.000000,623,,5772.00,0.90,1.00,
12522,Kepler-163 c,21.34736120,0.150600,2.230,,,0.000000,623,,5772.00,0.90,1.00,
12523,Kepler-163 c,,,2.725,,,,,,5390.00,0.91,,
12524,Kepler-163 c,21.34736120,,2.400,,,,,,5705.00,0.96,0.98,
12525,Kepler-163 c,21.34735877,,,,,,,,5410.90,0.97,0.94,-0.138
12526,Kepler-163 c,21.34726200,0.152000,2.260,,,,,,5776.00,0.92,,
12527,Kepler-1630 b,509.99740200,,2.190,,,,,,4736.00,0.63,0.66,
12528,Kepler-1630 b,509.99740200,1.121800,2.620,,,0.000000,182,,5037.00,0.76,0.72,
12529,Kepler-1630 b,509.99740200,,,,,,,,4689.00,0.72,0.75,-0.646
12530,Kepler-1630 b,509.99740200,1.121800,2.620,,,0.000000,182,,5037.00,0.76,0.72,
12531,Kepler-1631 b,,,1.897,,,,,,5870.00,1.05,,
12532,Kepler-1631 b,4.09513932,0.051100,1.390,,,0.000000,1122,,5858.00,0.96,1.06,
12533,Kepler-1631 b,4.09513932,0.051100,1.390,,,0.000000,1122,,5858.00,0.96,1.06,
12534,Kepler-1631 b,4.09513876,,,,,,,,5552.00,1.09,0.98,0.007
12535,Kepler-1631 b,4.09513876,0.051100,1.750,,,0.000000,1122,,5858.00,0.96,1.06,
12536,Kepler-1631 b,4.09513932,,1.350,,,,,,5679.00,0.95,0.97,
12537,Kepler-1632 b,,,2.829,,,,,,6071.00,1.51,,
12538,Kepler-1632 b,224.15092300,,,,,,,,5979.67,1.49,1.10,0.406
12539,Kepler-1632 b,448.30355800,,2.470,,,,,,6137.00,1.19,1.12,
12540,Kepler-1632 b,224.15092300,0.676200,2.410,,,0.000000,369,,6072.00,1.29,0.82,
12541,Kepler-1632 b,448.30355800,1.084600,1.660,,,0.000000,232,,6070.00,0.81,0.84,
12542,Kepler-1632 b,448.30355800,1.084600,1.660,,,0.000000,232,,6070.00,0.81,0.84,
12543,Kepler-1633 b,62.13491900,0.387500,6.710,,,0.000000,925,,5889.00,4.91,2.01,
12544,Kepler-1633 b,186.40427100,,1.580,,,,,,6256.00,1.32,1.20,
12545,Kepler-1633 b,,,2.621,,,,,,5875.00,1.92,,
12546,Kepler-1633 b,186.40772738,,,,,,,,6168.72,1.84,1.18,0.646
12547,Kepler-1633 b,186.40427100,0.640700,1.060,,,0.000000,336,,6351.00,0.92,1.01,
12548,Kepler-1633 b,62.13491900,,,,,,,,6168.72,1.84,1.18,0.646
12549,Kepler-1633 b,186.40424173,,,,,,,,6168.72,1.84,1.18,0.646
12550,Kepler-1633 b,186.40427100,0.640700,1.060,,,0.000000,336,,6351.00,0.92,1.01,
12551,Kepler-1634 b,374.87813300,1.052500,4.270,,,0.000000,282,,5636.00,1.35,1.10,
12552,Kepler-1634 b,374.87623900,1.052500,4.920,,,0.000000,282,,5636.00,1.35,1.10,
12553,Kepler-1634 b,374.87623900,,3.190,,,,,,5474.00,0.89,0.92,
12554,Kepler-1634 b,374.87813300,,,,,,,,5269.14,0.88,0.90,-0.265
12555,Kepler-1634 b,,,2.568,,,,,,5637.00,0.81,,
12556,Kepler-1634 b,374.87623900,1.052500,4.920,,,0.000000,282,,5636.00,1.35,1.10,
12557,Kepler-1635 b,469.63111000,1.112300,3.280,,,0.000000,202,,5484.00,0.78,0.83,
12558,Kepler-1635 b,,,3.662,,,,,,5240.00,0.86,,
12559,Kepler-1635 b,469.61309000,,,,,,,,5209.00,0.89,0.89,-0.280
12560,Kepler-1635 b,469.63111000,,3.640,,,,,,5347.00,0.85,0.89,
12561,Kepler-1635 b,469.61309000,1.117000,3.240,,,0.000000,200,,5474.00,0.76,0.85,
12562,Kepler-1635 b,469.63111000,1.112300,3.280,,,0.000000,202,,5484.00,0.78,0.83,
12563,Kepler-1636 b,425.47785000,,3.230,,,,,,5797.00,1.02,1.01,
12564,Kepler-1636 b,425.47785000,1.154600,3.220,,,0.000000,248,,5977.00,1.02,1.13,
12565,Kepler-1636 b,425.47785000,1.154600,3.220,,,0.000000,248,,5977.00,1.02,1.13,
12566,Kepler-1636 b,425.48353900,1.154600,3.200,,,0.000000,248,,5977.00,1.02,1.13,
12567,Kepler-1636 b,,,4.065,,,,,,5726.00,1.30,,
12568,Kepler-1636 b,425.48353900,,,,,,,,5619.51,1.39,0.99,0.237
12569,Kepler-1637 b,6.10972093,,,,,,,,,,,
12570,Kepler-1637 b,6.10960324,,0.890,,,,,,5789.00,1.02,1.02,
12571,Kepler-1637 b,6.10968225,0.059600,0.790,,,0.000000,1093,,6024.00,1.01,0.76,
12572,Kepler-1637 b,6.10968225,,,,,,,,,,,
12573,Kepler-1637 b,6.10960324,0.059600,0.840,,,0.000000,1093,,6024.00,1.01,0.76,
12574,Kepler-1637 b,6.10960324,0.059600,0.840,,,0.000000,1093,,6024.00,1.01,0.76,
12575,Kepler-1638 b,259.33683000,0.730700,1.700,,,0.000000,281,,5906.00,0.85,0.77,
12576,Kepler-1638 b,259.34205798,,,,,,,,5745.00,1.62,1.03,0.413
12577,Kepler-1638 b,,,3.226,,,,,,5488.00,1.71,,
12578,Kepler-1638 b,259.30283453,,,,,,,,5745.00,1.62,1.03,0.413
12579,Kepler-1638 b,259.36500000,0.745000,1.600,,,,304,,5906.00,0.83,0.82,-0.114
12580,Kepler-1638 b,259.33683000,0.730700,1.700,,,0.000000,281,,5906.00,0.85,0.77,
12581,Kepler-1638 b,259.33683000,,1.870,,,,,,5710.00,0.95,0.97,
12582,Kepler-1638 b,259.34304000,0.930200,6.040,,,0.000000,449,,5490.00,3.20,1.59,
12583,Kepler-1638 b,259.34304000,,,,,,,,5745.00,1.62,1.03,0.413
12584,Kepler-1639 b,,,2.333,,,,,,6480.00,1.01,,
12585,Kepler-1639 b,9.87885020,0.093200,2.640,,,0.000000,1003,,6477.00,1.15,1.10,
12586,Kepler-1639 b,9.87848200,,2.580,,,,,,6150.00,1.18,1.12,
12587,Kepler-1639 b,9.87848200,0.093400,2.500,,,0.000000,1003,,6495.00,1.15,1.11,
12588,Kepler-1639 b,9.87895944,,,,,,,,6175.00,1.03,1.18,0.145
12589,Kepler-1639 b,9.87848200,0.093400,2.500,,,0.000000,1003,,6495.00,1.15,1.11,
12590,Kepler-1639 b,9.87892482,,,,,,,,6175.00,1.03,1.18,0.145
12591,Kepler-1639 b,9.87885020,,,,,,,,6175.00,1.03,1.18,0.145
12592,Kepler-164 b,5.03502300,0.060000,1.480,,,0.000000,1199,,6361.00,1.10,1.15,
12593,Kepler-164 b,5.03506543,,1.480,,,,,,6048.00,1.13,1.09,
12594,Kepler-164 b,5.03504052,,,,,,,,6095.00,1.02,1.14,0.113
12595,Kepler-164 b,5.03505665,,,,,,,,6095.00,1.02,1.14,0.113
12596,Kepler-164 b,5.03505665,0.056800,1.630,,,0.000000,1141,,5888.00,1.10,0.97,
12597,Kepler-164 b,5.03503000,0.058000,1.410,,,,,,5888.00,1.15,,
12598,Kepler-164 b,5.03506543,0.059000,1.450,,,0.000000,1231,,6353.00,1.14,1.08,
12599,Kepler-164 b,5.03506543,0.059000,1.450,,,0.000000,1231,,6353.00,1.14,1.08,
12600,Kepler-164 b,5.03506543,0.059000,1.450,,,0.000000,1231,,6353.00,1.14,1.08,
12601,Kepler-164 b,,,1.545,,,,,,5923.00,1.04,,
12602,Kepler-164 c,,,2.690,,,,,,5923.00,1.04,,
12603,Kepler-164 c,10.94577222,0.099100,2.690,,,0.000000,950,,6353.00,1.14,1.08,
12604,Kepler-164 c,10.94577783,,,,,,,,6095.00,1.02,1.14,0.113
12605,Kepler-164 c,10.94577401,,,,,,,,6095.00,1.02,1.14,0.113
12606,Kepler-164 c,10.94575474,,,,,,,,6095.00,1.02,1.14,0.113
12607,Kepler-164 c,10.94577222,0.099100,2.690,,,0.000000,950,,6353.00,1.14,1.08,
12608,Kepler-164 c,10.94577783,0.095400,2.840,,,0.000000,881,,5888.00,1.10,0.97,
12609,Kepler-164 c,10.94572300,0.097000,2.730,,,,,,5888.00,1.15,,
12610,Kepler-164 c,10.94572900,0.101000,2.500,,,0.000000,924,,6361.00,1.10,1.15,
12611,Kepler-164 c,10.94577222,,2.720,,,,,,6048.00,1.13,1.09,
12612,Kepler-164 c,10.94577222,0.099100,2.690,,,0.000000,950,,6353.00,1.14,1.08,
12613,Kepler-164 d,28.98671115,,,,,,,,6095.00,1.02,1.14,0.113
12614,Kepler-164 d,28.98683260,,2.470,,,,,,6048.00,1.13,1.09,
12615,Kepler-164 d,28.98683260,0.189700,2.460,,,0.000000,687,,6353.00,1.14,1.08,
12616,Kepler-164 d,28.98676900,0.187000,2.450,,,,,,5888.00,1.15,,
12617,Kepler-164 d,28.98683260,0.189700,2.460,,,0.000000,687,,6353.00,1.14,1.08,
12618,Kepler-164 d,28.98679128,,,,,,,,6095.00,1.02,1.14,0.113
12619,Kepler-164 d,28.98687000,0.194000,2.500,,,0.000000,667,,6361.00,1.10,1.15,
12620,Kepler-164 d,,,2.564,,,,,,5923.00,1.04,,
12621,Kepler-164 d,28.98683260,0.189700,2.460,,,0.000000,687,,6353.00,1.14,1.08,
12622,Kepler-164 d,28.98690160,,,,,,,,6095.00,1.02,1.14,0.113
12623,Kepler-164 d,28.98690160,0.182600,2.700,,,0.000000,637,,5888.00,1.10,0.97,
12624,Kepler-1640 b,7.58442410,,,,,,,,,,,
12625,Kepler-1640 b,7.58441260,0.083400,5.490,,,0.000000,1222,,6266.00,1.63,1.34,
12626,Kepler-1640 b,7.58441260,,4.820,,,,,,6324.00,1.43,1.27,
12627,Kepler-1640 b,7.58441260,0.083400,5.490,,,0.000000,1222,,6266.00,1.63,1.34,
12628,Kepler-1640 b,7.58442410,0.083600,5.830,,,0.000000,1228,,6264.00,1.65,1.35,
12629,Kepler-1640 b,7.58457101,,,,,,,,,,,
12630,Kepler-1641 b,19.67232400,,,,,,,,6057.00,1.06,1.13,0.131
12631,Kepler-1641 b,,,2.912,,,,,,6484.00,1.06,,
12632,Kepler-1641 b,19.67226600,,3.110,,,,,,6152.00,1.19,1.12,
12633,Kepler-1641 b,19.67226600,0.147300,3.920,,,0.000000,908,,6486.00,1.49,1.10,
12634,Kepler-1641 b,19.67167240,,,,,,,,6057.00,1.06,1.13,0.131
12635,Kepler-1641 b,19.67232400,0.147300,4.070,,,0.000000,908,,6486.00,1.49,1.10,
12636,Kepler-1641 b,19.67226600,0.147300,3.920,,,0.000000,908,,6486.00,1.49,1.10,
12637,Kepler-1641 c,32.65703500,,,,,,,,6057.00,1.06,1.13,0.131
12638,Kepler-1641 c,32.65703500,0.206500,3.730,,,0.000000,767,,6486.00,1.49,1.10,
12639,Kepler-1641 c,32.65721200,0.206500,3.780,,,0.000000,767,,6486.00,1.49,1.10,
12640,Kepler-1641 c,32.65721200,,2.950,,,,,,6152.00,1.19,1.12,
12641,Kepler-1641 c,32.65428815,,,,,,,,6057.00,1.06,1.13,0.131
12642,Kepler-1641 c,,,2.673,,,,,,6484.00,1.06,,
12643,Kepler-1641 c,32.65721200,0.206500,3.780,,,0.000000,767,,6486.00,1.49,1.10,
12644,Kepler-1642 b,12.20643040,,,,,,,,5095.00,0.81,0.85,-0.405
12645,Kepler-1642 b,12.20643040,0.101600,5.410,,,0.000000,895,,5254.00,1.51,0.94,
12646,Kepler-1642 b,12.20575130,0.101600,5.830,,,0.000000,895,,5254.00,1.51,0.94,
12647,Kepler-1642 b,12.20598063,,,,,,,,5095.00,0.81,0.85,-0.405
12648,Kepler-1642 b,12.20575130,0.101600,5.830,,,0.000000,895,,5254.00,1.51,0.94,
12649,Kepler-1642 b,,,2.770,,,,,,5255.00,0.78,,
12650,Kepler-1642 b,12.20575130,,3.200,,,,,,5355.00,0.84,0.88,
12651,Kepler-1642 c,6.65131890,,,,,,,,5095.00,0.81,0.85,-0.405
12652,Kepler-1642 c,,,2.464,,,,,,5255.00,0.78,,
12653,Kepler-1642 c,6.65138020,0.067800,4.870,,,0.000000,1095,,5254.00,1.51,0.94,
12654,Kepler-1642 c,6.65104254,,,,,,,,5095.00,0.81,0.85,-0.405
12655,Kepler-1642 c,6.65138020,,2.660,,,,,,5355.00,0.84,0.88,
12656,Kepler-1642 c,6.65138020,0.067800,4.870,,,0.000000,1095,,5254.00,1.51,0.94,
12657,Kepler-1642 c,6.65131890,0.067800,4.810,,,0.000000,1095,,5254.00,1.51,0.94,
12658,Kepler-1643 b,5.34260504,,,,,,,,4845.00,0.82,0.79,-0.472
12659,Kepler-1643 b,5.34264143,,,,,,,,4845.00,0.82,0.79,-0.472
12660,Kepler-1643 b,,,2.058,,,,,,5098.00,0.80,,
12661,Kepler-1643 b,5.34264143,0.053100,1.720,,,0.000000,799,,5101.00,0.67,0.70,
12662,Kepler-1643 b,5.34264507,0.053100,1.720,,,0.000000,796,,5094.00,0.67,0.70,
12663,Kepler-1643 b,5.34264507,,2.300,,,,,,5508.00,0.88,0.92,
12664,Kepler-1643 b,5.34264507,0.053100,1.720,,,0.000000,796,,5094.00,0.67,0.70,
12665,Kepler-1644 b,21.09079090,,,,,,,,5706.14,,,
